epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202130,2021-07-25,501,PE,,26,state,585614,6089.60257,945,18616,17,0.0318,9616621,True,False
202129,2021-07-24,500,PE,,26,state,584669,6079.77584,700,18599,51,0.0318,9616621,False,False
202129,2021-07-23,499,PE,,26,state,583969,6072.49677,1120,18548,46,0.0318,9616621,False,False
202129,2021-07-22,498,PE,,26,state,582849,6060.85027,1256,18502,58,0.0317,9616621,False,False
202129,2021-07-21,497,PE,,26,state,581593,6047.78955,1814,18444,56,0.0317,9616621,False,False
202129,2021-07-20,496,PE,,26,state,579779,6028.92638,354,18388,46,0.0317,9616621,False,False
202129,2021-07-19,495,PE,,26,state,579425,6025.24525,339,18342,17,0.0317,9616621,False,False
202129,2021-07-18,494,PE,,26,state,579086,6021.7201,638,18325,21,0.0316,9616621,False,False
202128,2021-07-17,493,PE,,26,state,578448,6015.08576,1333,18304,10,0.0316,9616621,False,False
202128,2021-07-16,492,PE,,26,state,577115,6001.22434,1250,18294,59,0.0317,9616621,False,False
202128,2021-07-15,491,PE,,26,state,575865,5988.22601,1184,18235,29,0.0317,9616621,False,False
202128,2021-07-14,490,PE,,26,state,574681,5975.91399,2145,18206,40,0.0317,9616621,False,False
202128,2021-07-13,489,PE,,26,state,572536,5953.60886,2290,18166,35,0.0317,9616621,False,False
202128,2021-07-12,488,PE,,26,state,570246,5929.79592,383,18131,21,0.0318,9616621,False,False
202128,2021-07-11,487,PE,,26,state,569863,5925.81324,923,18110,10,0.0318,9616621,False,False
202127,2021-07-10,486,PE,,26,state,568940,5916.21527,1961,18100,32,0.0318,9616621,False,False
202127,2021-07-09,485,PE,,26,state,566979,5895.82349,2190,18068,45,0.0319,9616621,False,False
202127,2021-07-08,484,PE,,26,state,564789,5873.05042,1525,18023,44,0.0319,9616621,False,False
202127,2021-07-07,483,PE,,26,state,563264,5857.19246,1759,17979,26,0.0319,9616621,False,False
202127,2021-07-06,482,PE,,26,state,561505,5838.90121,2147,17953,45,0.032,9616621,False,False
202127,2021-07-05,481,PE,,26,state,559358,5816.57528,660,17908,36,0.032,9616621,False,False
202127,2021-07-04,480,PE,,26,state,558698,5809.71216,1405,17872,31,0.032,9616621,False,False
202126,2021-07-03,479,PE,,26,state,557293,5795.10204,2605,17841,75,0.032,9616621,False,False
202126,2021-07-02,478,PE,,26,state,554688,5768.01353,2399,17766,46,0.032,9616621,False,False
202126,2021-07-01,477,PE,,26,state,552289,5743.06713,1997,17720,35,0.0321,9616621,False,False
202126,2021-06-30,476,PE,,26,state,550292,5722.301,975,17685,45,0.0321,9616621,False,False
202126,2021-06-29,475,PE,,26,state,549317,5712.16231,2181,17640,61,0.0321,9616621,False,False
